Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Centro Histórico;1;0;0;15;2800.0;1365.0;70.0
Del Valle;1;0;0;48;2800.0;805.0;0.0
Narvarte;1;0;0;48;2625.0;2702.0;87.5
Centro Histórico;1;0;0;27;2625.0;1298.5;66.5
Centro Histórico;1;1;0;37;3850.0;1890.0;3150.0
San Miguel Chapultepec;1;0;0;37;3500.0;997.5;84.0
Roma;1;0;0;35;3500.0;1025.5;301.0
Nueva Santa María;1;1;0;63;2450.0;2187.5;126.0
Napoles;1;0;0;31;3990.0;1470.0;84.0
Roma;1;0;0;17;3850.0;1155.0;52.5
Villa de Guadalupe;1;1;0;45;2450.0;1246.0;441.0
San Rafael;1;0;1;30;3850.0;2030.0;0.0
Centro Histórico;1;0;1;38;4025.0;1400.0;87.5
Condesa;1;0;0;21;2800.0;1092.0;52.5
Centro Histórico;1;0;0;35;3500.0;1050.0;0.0
San Miguel Chapultepec;1;1;1;50;3675.0;1575.0;0.0
Santa Cruz Atoyac;1;0;0;50;3850.0;1953.0;70.0
Del Valle;1;0;0;55;2625.0;420.0;0.0
Roma;1;0;0;35;3500.0;1025.5;301.0
Condesa;1;1;0;49;4025.0;1995.0;98.0
Condesa;1;0;0;35;3850.0;1400.0;192.5
Narvarte;1;0;0;40;3850.0;1225.0;175.0
La Condesa;1;0;0;34;3850.0;962.5;49.0
Del Valle;1;0;1;45;2800.0;420.0;108.5
Nueva Santa María;1;0;0;37;2100.0;1449.0;56.0
Del Valle Centro;1;1;0;44;1750.0;1211.0;0.0
Santa Fe;1;1;1;45;3185.0;2240.0;42.0
Centro Histórico;1;0;0;30;3150.0;1120.0;0.0
Centro Histórico;1;0;0;21;3150.0;1011.5;70.0
Nativitas;1;0;0;35;1400.0;455.0;0.0
Roma Norte;1;0;0;33;2800.0;962.5;84.0
Ciudad de los Deportes;1;1;1;70;2100.0;1683.5;59.5
Centro Histórico;1;0;0;38;3150.0;780.5;52.5
Nueva Santa María;1;1;1;51;2975.0;1781.5;59.5
Condesa;1;0;0;45;2590.0;630.0;87.5
La Florida;1;1;1;64;3150.0;1645.0;52.5
La Condesa;1;0;1;48;3850.0;1750.0;0.0
Centro Histórico;1;0;0;40;3500.0;1785.0;73.5
Centro Histórico;1;0;0;55;2975.0;1225.0;122.5
Centro Histórico;1;0;0;28;3150.0;1561.0;84.0
Juárez;1;0;0;27;3500.0;1256.5;101.5
Nueva Santa María;1;1;0;62;3150.0;1942.5;0.0
Narvarte;1;0;0;35;2800.0;1330.0;84.0
Culhuacán CTM;1;0;0;40;2380.0;840.0;0.0
Centro Histórico;1;0;0;35;3325.0;1190.0;84.0
Narvarte;1;1;0;47;3850.0;2100.0;0.0
Iztacalco;1;0;0;55;2450.0;700.0;0.0
Condesa;1;0;0;55;3850.0;1960.0;199.5
Del Valle;1;0;0;27;3850.0;2380.0;101.5
La Condesa;1;0;0;50;3325.0;1995.0;234.5
Ciudad de los Deportes;1;1;0;45;2275.0;1295.0;490.0
Del Valle;1;0;1;37;3150.0;1078.0;0.0
Centro Histórico;1;0;0;34;3500.0;1575.0;73.5
Narvarte;1;0;0;35;2800.0;1470.0;0.0
Centro Histórico;1;0;0;45;3850.0;1400.0;0.0
Villa de Cortés;1;0;0;37;2800.0;749.0;49.0
La Loma;1;0;0;32;3850.0;1330.0;0.0
San Juan Xalpa;1;0;1;45;2975.0;805.0;0.0
La Condesa;1;0;1;40;4025.0;1820.0;0.0
Centro Histórico;1;0;0;33;2800.0;1330.0;87.5
Ciudad de los Deportes;1;1;0;48;1575.0;962.5;0.0
Centro Histórico;1;0;0;42;3815.0;1207.5;84.0
La Condesa;1;0;0;20;3150.0;1732.5;0.0
Condesa;1;0;0;33;3850.0;1830.5;196.0
Los Reyes Coyoacán;1;0;0;51;2800.0;717.5;0.0
Iztapalapa;1;0;0;50;2800.0;980.0;0.0
Los Reyes Coyoacán;1;0;0;51;2800.0;717.5;0.0
Centro Histórico;1;0;1;40;3325.0;1225.0;84.0
San Miguel Chapultepec;1;1;0;66;3500.0;2625.0;70.0
Centro Histórico;1;0;0;33;2975.0;1197.0;73.5
Condesa;1;0;0;28;3325.0;2264.5;196.0
Ciudad de los Deportes;1;0;0;47;1750.0;35.0;0.0
Peralvillo;1;1;0;61;3500.0;1214.5;182.0
Santa Fe;1;1;1;42;3850.0;2341.5;0.0
Juárez;1;0;0;26;2800.0;1400.0;101.5
Condesa;1;0;0;31;3850.0;1771.0;203.0
Iztacalco;1;0;0;45;1925.0;693.0;0.0
Centro Histórico;1;0;0;15;2800.0;1067.5;70.0
San Andrés Tetepilco;1;1;0;45;2520.0;280.0;0.0
Centro Histórico;1;0;0;30;3850.0;1400.0;0.0
Doctores;1;1;0;45;3150.0;1949.5;56.0
Iztapalapa;1;0;0;33;2100.0;10.5;0.0
El Rosedal;1;0;0;45;1750.0;280.0;0.0
Los Reyes Coyoacán;1;1;0;60;3500.0;1400.0;0.0
Lomas de Padierna;1;0;0;50;3850.0;1260.0;171.5
Roma;1;0;0;35;3500.0;1025.5;301.0
Narvarte;1;0;0;40;3850.0;1575.0;84.0
Iztapalapa;1;0;0;40;2800.0;525.0;0.0
Condesa;1;0;0;35;2800.0;1400.0;0.0
Nativitas;1;0;0;30;2800.0;1242.5;87.5
Peralvillo;1;0;0;60;3850.0;1214.5;192.5
La Condesa;1;0;0;30;3850.0;1263.5;84.0
Villa de Cortés;1;0;0;50;3150.0;875.0;0.0
San Rafael;1;0;0;40;3500.0;1190.0;665.0
Arboledas;1;0;0;30;1050.0;175.0;0.0
Condesa;1;0;0;28;3850.0;1575.0;189.0
Centro Histórico;1;0;0;30;2800.0;1400.0;0.0
Nativitas;1;0;0;39;3150.0;1529.5;0.0
Condesa;1;0;0;49;2310.0;822.5;49.0
Centro Histórico;1;0;0;25;3500.0;1123.5;84.0
El Rosedal;1;1;0;35;2446.5;346.5;0.0
Peralvillo;1;1;0;46;2800.0;2047.5;0.0
Centro Histórico;1;0;0;20;3500.0;756.0;73.5
Nativitas;1;0;0;35;3815.0;1575.0;87.5
Narvarte;1;0;0;33;3500.0;1802.5;49.0
Centro Histórico;1;0;0;55;3325.0;1515.5;164.5
Centro Histórico;1;0;0;34;2800.0;1484.0;87.5
Roma;1;0;0;35;3500.0;1025.5;301.0
Juárez;1;0;1;34;3500.0;1400.0;185.5
La Loma;1;0;0;30;3850.0;1470.0;0.0
Centro Histórico;1;0;0;30;3500.0;1379.0;70.0
San Miguel Chapultepec;1;0;0;36;3675.0;1347.5;0.0
Jardines de San Mateo;1;1;1;50;2800.0;630.0;0.0
Nueva Santa María;1;1;0;62;2275.0;2142.0;0.0
Iztapalapa;1;0;0;50;2800.0;700.0;0.0
Ciudad de los Deportes;1;1;0;37;1750.0;1127.0;0.0
San Rafael;1;0;0;42;3150.0;1564.5;70.0
Centro Histórico;1;0;0;43;3500.0;1400.0;63.0
Roma;1;0;0;19;3430.0;1683.5;101.5
San Miguel Chapultepec;1;0;0;50;3500.0;1400.0;0.0
Centro Histórico;1;0;0;32;3500.0;1575.0;105.0
Ciudad de los Deportes;1;1;0;41;2800.0;1120.0;70.0
Centro Histórico;1;0;0;41;2800.0;1344.0;59.5
San Rafael;1;1;0;50;3500.0;1624.0;87.5
Centro Histórico;1;0;0;33;2625.0;1701.0;87.5
La Condesa;1;0;0;43;3500.0;1760.5;52.5
Peralvillo;1;0;0;46;2800.0;1907.5;49.0
Santa Fe;1;1;0;42;2800.0;2653.0;0.0
San Miguel Chapultepec;1;0;0;41;3850.0;1365.0;84.0
Roma;1;0;0;23;2975.0;2033.5;105.0
Juárez;1;0;0;42;3500.0;1855.0;0.0
Condesa;1;0;0;25;2975.0;1295.0;49.0
Condesa;1;0;0;41;3150.0;2450.0;0.0
Santa Fe;1;1;0;42;2975.0;2667.0;140.0
Narvarte;1;1;0;50;3850.0;1984.5;70.0
Centro Histórico;1;0;0;46;2975.0;1925.0;157.5
Del Valle Centro;1;1;0;45;3150.0;1736.0;0.0
Roma;1;0;0;26;3850.0;945.0;0.0
Iztapalapa;1;1;0;48;2100.0;542.5;0.0
Narvarte;1;0;1;40;3850.0;1365.0;87.5
San Miguel Chapultepec;1;0;0;30;3850.0;1347.5;73.5
San Miguel Chapultepec;1;0;0;30;3850.0;1400.0;0.0
San Miguel Chapultepec;1;0;0;60;2800.0;1060.5;87.5
Condesa;1;0;0;27;3150.0;1190.0;0.0
La Condesa;1;0;0;30;3500.0;1750.0;70.0
Jardines de San Mateo;1;1;1;50;2800.0;630.0;0.0
Nueva Santa María;1;0;1;40;1750.0;1596.0;126.0
Nativitas;1;0;0;22;2800.0;455.0;87.5
Roma;1;0;0;24;3500.0;1750.0;105.0
Santa Fe;1;1;1;44;3500.0;2765.0;52.5
Centro Histórico;1;0;0;40;3500.0;1340.5;87.5
Doctores;1;0;1;40;3850.0;801.5;0.0
Condesa;1;0;0;30;3500.0;2100.0;196.0
Roma Norte;1;0;0;40;3500.0;511.0;0.0
Condesa;1;0;0;28;3500.0;1225.0;0.0
La Florida;1;0;0;75;3850.0;2187.5;49.0
Centro Histórico;1;0;0;27;2100.0;1470.0;311.5
Álvaro Obregón;1;0;0;60;2100.0;322.0;115.5
El Contadero;1;1;0;35;3500.0;598.5;87.5
Doctores;1;1;0;46;3325.0;1925.0;56.0
Lindavista Sur;1;0;0;35;2450.0;231.0;0.0
Centro Histórico;1;0;0;33;4025.0;1295.0;70.0
Centro Histórico;1;0;0;35;3500.0;1172.5;87.5
Condesa;1;0;0;35;3955.0;1750.0;0.0
Villa de Cortés;1;1;0;60;2975.0;1099.0;0.0
Mixcoac;1;0;0;51;2450.0;1767.5;0.0
Narvarte;1;1;0;60;3150.0;1946.0;84.0
Ciudad de los Deportes;1;0;0;60;2625.0;105.0;0.0
Narvarte;1;0;0;40;3850.0;1750.0;70.0
San Miguel Chapultepec;1;0;0;45;3500.0;1225.0;70.0
Condesa;1;0;0;31;3850.0;1389.5;234.5
Nueva Santa María;1;0;0;46;3850.0;1750.0;0.0
Del Valle;1;0;0;24;3150.0;1452.5;101.5
Narvarte;1;1;0;35;3150.0;1172.5;70.0
Condesa;1;0;0;36;3850.0;2817.5;245.0
Narvarte;1;1;1;40;3500.0;2079.0;0.0
Narvarte;1;0;0;58;3850.0;1428.0;0.0
La Florida;1;0;0;45;2625.0;262.5;0.0
Narvarte;1;0;1;33;3150.0;1610.0;87.5
Centro Histórico;1;0;0;35;3150.0;1809.5;87.5
Iztacalco;1;0;0;50;2625.0;700.0;0.0
Centro Histórico;1;0;0;26;2625.0;1400.0;0.0
La Condesa;1;0;0;47;4025.0;1750.0;87.5
Atlalilco;1;0;0;40;4025.0;280.0;70.0
Juárez;1;0;0;44;3325.0;1050.0;101.5
Nativitas;1;0;0;36;3850.0;1225.0;455.0
Santa María Nativitas;1;1;0;58;3850.0;1977.5;1750.0
Santa Fe;1;1;0;42;3500.0;2590.0;0.0
Arboledas;1;1;0;50;2800.0;875.0;0.0
San Miguel Chapultepec;1;0;0;35;3850.0;1592.5;0.0
Ciudad de los Deportes;1;1;0;46;2450.0;1050.0;374.5
El Contadero;1;1;0;44;3850.0;805.0;168.0
Narvarte;1;0;0;40;3150.0;2240.0;73.5
Nativitas;1;0;0;30;3150.0;1085.0;0.0
Centro Histórico;1;0;0;40;3850.0;2474.5;245.0
Juárez;1;0;0;29;3850.0;1120.0;87.5
Centro Histórico;1;0;0;40;3675.0;1190.0;0.0
Culhuacán CTM;1;0;0;54;2660.0;280.0;0.0
Narvarte;1;0;0;45;3500.0;1540.0;0.0
Centro Histórico;1;0;0;34;3500.0;1589.0;87.5
San Miguel Chapultepec;1;1;0;30;3850.0;2170.0;0.0
Narvarte;1;0;0;40;3850.0;1869.0;87.5
Centro Histórico;1;0;0;35;3850.0;1190.0;70.0
Nueva Santa María;1;0;0;45;2800.0;1610.0;0.0
Centro Histórico;1;0;0;25;2975.0;780.5;84.0
El Contadero;1;1;0;30;3500.0;1575.0;84.0
Loma Bonita;1;1;1;45;2800.0;875.0;0.0
Centro Histórico;1;0;0;32;3150.0;1197.0;84.0
Condesa;1;0;0;21;3850.0;1417.5;0.0
Centro Histórico;1;0;0;28;3150.0;1295.0;70.0
Centro Histórico;1;0;0;37;3290.0;1347.5;84.0
Narvarte;1;0;0;35;3500.0;1050.0;175.0
Culhuacán CTM;1;0;0;45;2275.0;875.0;0.0
Centro Histórico;1;0;0;34;2975.0;1435.0;84.0
San Miguel Chapultepec;1;1;1;52;3500.0;2625.0;87.5
San Rafael;1;0;0;60;3850.0;525.0;70.0
Centro Histórico;1;0;0;38;3150.0;1242.5;73.5
Del Valle;1;0;0;25;3150.0;1575.0;105.0
Roma;1;0;0;22;2905.0;2096.5;101.5
Bosques de Aragón;1;0;0;37;2800.0;700.0;84.0
San Miguel Chapultepec;1;0;0;36;3500.0;1680.0;70.0
Lindavista Sur;1;0;1;35;2310.0;231.0;0.0
Condesa;1;0;0;20;3850.0;1400.0;0.0
San Pedro de los Pinos;1;1;1;32;3500.0;1435.0;73.5
Peralvillo;1;1;0;50;2100.0;1750.0;70.0
Centro Histórico;1;0;0;48;2800.0;280.0;0.0
Nueva Santa María;1;1;0;45;2065.0;945.0;56.0
Santa Fe;1;1;0;42;3325.0;2275.0;52.5
Santa Fe;1;1;1;45;3745.0;2254.0;129.5
Atlalilco;1;0;0;50;3045.0;525.0;0.0
Narvarte;1;0;0;43;3850.0;735.0;0.0
Roma Norte;1;1;0;99;3500.0;2719.5;238.0
Napoles;1;0;0;26;3850.0;2117.5;91.0
Del Valle;1;0;0;45;2450.0;455.0;0.0
Narvarte;1;0;0;24;3500.0;1400.0;0.0
Centro Histórico;1;0;0;36;3150.0;805.0;70.0
Centro Histórico;1;0;0;35;3325.0;1487.5;87.5
Nueva Santa María;1;1;0;51;2800.0;1862.0;56.0
Centro Histórico;1;0;0;35;4025.0;1505.0;630.0
San Rafael;1;0;0;48;3675.0;682.5;70.0
Villa Coapa;1;1;0;40;2275.0;1067.5;56.0
Centro Histórico;1;0;0;34;3150.0;1400.0;0.0
Centro Histórico;1;0;0;20;2800.0;1183.0;70.0
Villa de Guadalupe;1;0;0;45;3325.0;525.0;0.0
Centro Histórico;1;0;0;30;3150.0;1452.5;80.5
Centro Histórico;1;1;0;46;3850.0;1960.0;1715.0
Condesa;1;0;0;56;3850.0;3220.0;0.0
Juárez;1;0;0;22;3150.0;1561.0;0.0
Narvarte;1;0;0;45;4025.0;1603.0;161.0
La Condesa;1;0;0;35;4025.0;1225.0;87.5
Centro Histórico;1;0;0;47;3325.0;875.0;0.0
Ciudad de los Deportes;1;1;0;56;3150.0;840.0;437.5
Centro Histórico;1;0;0;30;2800.0;980.0;84.0
Centro Histórico;1;0;0;25;3500.0;980.0;0.0
Moctezuma;1;0;0;40;2135.0;332.5;0.0
Centro Histórico;1;0;0;21;2625.0;941.5;84.0
San Pedro de los Pinos;1;1;0;36;2625.0;1197.0;0.0
San Miguel Chapultepec;1;0;0;50;3500.0;1137.5;119.0
La Condesa;1;0;0;30;3850.0;1218.0;45.5
Centro Histórico;1;0;0;40;3500.0;1533.0;73.5
San Miguel Chapultepec;1;0;0;36;3675.0;1347.5;0.0
Condesa;1;0;0;35;3500.0;1435.0;199.5
Centro Histórico;1;0;0;45;3500.0;1225.0;80.5
Narvarte;1;1;0;60;3675.0;2432.5;70.0
Iztacalco;1;1;0;50;2275.0;1575.0;0.0
Santa Fe;1;0;0;38;3500.0;1435.0;52.5
San Miguel Chapultepec;1;0;1;45;3850.0;1750.0;84.0
Doctores;1;0;0;53;3500.0;759.5;0.0
Nueva Santa María;1;1;0;40;4025.0;1085.0;0.0
Centro Histórico;1;0;0;38;3500.0;1172.5;612.5
Ciudad de los Deportes;1;1;0;40;3500.0;945.0;0.0
Narvarte;1;1;0;40;3850.0;1750.0;70.0
Centro Histórico;1;0;0;20;2800.0;1505.0;133.0
Condesa;1;0;0;25;2625.0;1400.0;0.0
Narvarte;1;0;0;30;3500.0;1470.0;73.5
Juárez;1;0;0;24;3850.0;1522.5;787.5
Doctores;1;0;0;46;3150.0;885.5;59.5
Lomas de Padierna;1;0;0;55;3500.0;1225.0;63.0
Centro Histórico;1;0;0;31;2975.0;1960.0;402.5
Centro Histórico;1;0;0;41;3850.0;1365.0;84.0
Jardines de San Mateo;1;1;1;40;2975.0;630.0;0.0
Iztacalco;1;1;0;60;2275.0;770.0;0.0
Centro Histórico;1;0;0;34;3500.0;2100.0;451.5
Centro Histórico;1;0;0;38;2800.0;1340.5;0.0
Condesa;1;0;0;19;3850.0;1708.0;105.0
Peralvillo;1;1;0;54;2975.0;1214.5;49.0
Condesa;1;0;0;40;3850.0;2800.0;350.0
San Miguel Chapultepec;1;0;0;50;2800.0;616.0;84.0
Nueva Santa María;1;0;0;40;2975.0;1333.5;0.0
Narvarte;1;0;0;57;3500.0;1809.5;0.0
Roma;1;0;0;40;2450.0;525.0;0.0
Arboledas;1;0;0;45;2100.0;700.0;0.0
Peralvillo;1;1;0;46;3850.0;1050.0;0.0
San Miguel Chapultepec;1;1;0;60;3500.0;1750.0;0.0
Nueva Santa María;1;1;0;58;3500.0;2030.0;59.5
Jardines de San Mateo;1;1;1;50;2800.0;630.0;0.0
Santa Marta Acatitla;1;1;0;40;1400.0;770.0;0.0
Bosques de las Lomas;1;0;0;37;2450.0;700.0;70.0
Bosques de Aragón;1;1;0;42;3675.0;1155.0;0.0
Centro Histórico;1;0;0;22;3500.0;1470.0;84.0
Nativitas;1;0;0;55;2975.0;385.0;0.0
Condesa;1;0;0;31;3500.0;1155.0;52.5
Bosques de Aragón;1;1;0;37;3150.0;749.0;0.0
Mixcoac;1;0;0;76;2800.0;1452.5;49.0
San Rafael;1;1;0;60;3500.0;805.0;80.5
Centro Histórico;1;0;0;34;3850.0;1095.5;87.5
Nativitas;1;0;0;50;2275.0;420.0;0.0
Del Valle;1;0;0;26;2800.0;1603.0;101.5
Peralvillo;1;1;0;52;2975.0;2047.5;126.0
Centro Histórico;1;0;0;22;3675.0;980.0;84.0
Santa Cruz Atoyac;1;0;0;25;2800.0;1050.0;70.0
El Contadero;1;0;0;39;3850.0;875.0;87.5
Centro Histórico;1;0;0;40;3150.0;1400.0;73.5
Roma;1;0;0;35;3500.0;1025.5;301.0
Centro Histórico;1;0;0;21;2905.0;1242.5;84.0
La Condesa;1;0;0;30;2800.0;1732.5;0.0
Condesa;1;0;0;32;3850.0;1963.5;101.5
Condesa;1;0;0;29;2765.0;1680.0;332.5
Centro Histórico;1;0;0;25;3850.0;1106.0;84.0
Centro Histórico;1;0;0;27;3500.0;1470.0;0.0
Narvarte;1;0;0;37;3500.0;1617.0;0.0
Del Valle;1;0;0;30;3500.0;245.0;101.5
La Loma;1;0;0;35;3850.0;1050.0;87.5
Atlalilco;1;1;0;50;3500.0;1484.0;0.0
Nativitas;1;0;0;48;2975.0;420.0;0.0
Centro Histórico;1;0;0;40;3500.0;1400.0;0.0
San Miguel Chapultepec;1;0;0;50;2975.0;1291.5;84.0
San Felipe de Jesús;1;0;0;42;2800.0;910.0;56.0
Centro Histórico;1;0;0;24;2625.0;1127.0;73.5
Santa Fe;1;1;1;65;3500.0;9275.0;630.0
La Condesa;1;0;0;39;3150.0;861.0;0.0
Narvarte;1;0;0;50;3850.0;1225.0;73.5
Narvarte;1;0;0;48;3500.0;2275.0;164.5
Iztacalco;1;0;0;55;2450.0;700.0;0.0
Condesa;1;0;0;38;4025.0;2730.0;0.0
Centro Histórico;1;0;0;35;3500.0;1750.0;84.0
Condesa;1;0;0;40;3325.0;2026.5;234.5
Doctores;1;1;0;55;3500.0;1750.0;0.0
Nueva Santa María;1;1;0;54;3500.0;1575.0;119.0
Centro Histórico;1;0;0;34;2800.0;1155.0;63.0
Centro Histórico;1;0;0;20;3150.0;833.0;35.0
Centro Histórico;1;0;0;42;3850.0;1435.0;0.0
Centro Histórico;1;0;0;27;3850.0;1295.0;0.0
San Miguel Chapultepec;1;1;0;40;3500.0;1400.0;84.0
San Rafael;1;1;0;60;3500.0;1400.0;73.5
San Miguel Chapultepec;1;0;0;50;3850.0;1575.0;70.0
Condesa;1;0;0;27;3500.0;2292.5;192.5
Juárez;1;0;0;45;3850.0;1144.5;189.0
Centro Histórico;1;0;0;31;3500.0;1400.0;70.0
San Pedro de los Pinos;1;1;1;32;3500.0;1431.5;49.0
Peralvillo;1;1;1;40;2975.0;1547.0;52.5
Centro Histórico;1;0;0;40;3500.0;1050.0;70.0
Álvaro Obregón;1;1;0;39;2100.0;612.5;0.0
Peralvillo;1;1;0;45;2730.0;1295.0;105.0
Los Reyes Coyoacán;1;0;0;36;2275.0;1025.5;49.0
Peralvillo;1;1;0;68;4025.0;1939.0;45.5
Nativitas;1;0;0;40;3150.0;1522.5;0.0
Peralvillo;1;0;1;69;3150.0;2240.0;441.0
La Condesa;1;0;0;46;3850.0;1585.5;112.0
Roma;1;0;0;21;3500.0;987.0;87.5
Narvarte;1;0;0;28;3500.0;1260.0;87.5
